action,barcode,productName,batchCode,expiryDate,quantity,price
ADD,P0004,Tea,B100001,2027-04-03,40,85000
ADD,P0013,Noodles,B100002,2027-11-02,6,90000
ADD,P0009,Cake,B100003,2027-12-31,20,95000
ADD,P0004,Tea,B100004,2027-09-18,23,60000
ADD,P0003,Coffee,B100005,2027-04-09,68,50000
ADD,P0007,Book,B100006,2027-10-23,35,100000
ADD,P0006,Medicine,B100007,2027-09-25,91,95000
ADD,P0003,Coffee,B100008,2026-07-13,57,70000
ADD,P0004,Tea,B100009,2027-02-17,85,45000
ADD,P0010,Candy,B100010,2027-05-09,5,10000
ADD,P0007,Book,B100011,2027-05-29,20,60000
ADD,P0012,Chocolate,B100012,2027-06-08,37,75000
ADD,P0005,Rice,B100013,2027-08-07,45,10000
ADD,P0003,Coffee,B100014,2027-09-12,80,55000
ADD,P0010,Candy,B100015,2027-05-21,73,25000
ADD,P0015,Shampoo,B100016,2027-06-06,50,80000
ADD,P0005,Rice,B100017,2026-07-19,35,85000
ADD,P0009,Cake,B100018,2026-07-07,97,55000
ADD,P0008,Juice,B100019,2026-12-06,34,80000
ADD,P0010,Candy,B100020,2027-06-14,69,15000
ADD,P0006,Medicine,B100021,2027-07-22,74,50000
ADD,P0015,Shampoo,B100022,2027-03-29,4,35000
ADD,P0013,Noodles,B100023,2027-11-13,37,40000
ADD,P0013,Noodles,B100024,2026-12-04,21,25000
ADD,P0001,Milk,B100025,2026-12-30,94,40000
ADD,P0005,Rice,B100026,2027-08-19,28,75000
ADD,P0005,Rice,B100027,2027-04-26,53,25000
ADD,P0020,Sugar,B100028,2027-07-11,33,80000
ADD,P0013,Noodles,B100029,2026-08-06,33,30000
ADD,P0010,Candy,B100030,2027-09-29,81,85000
ADD,P0020,Sugar,B100031,2026-07-06,67,45000
ADD,P0005,Rice,B100032,2026-07-06,8,30000
ADD,P0006,Medicine,B100033,2027-07-03,49,65000
ADD,P0009,Cake,B100034,2027-08-07,12,95000
ADD,P0005,Rice,B100035,2027-09-03,45,20000
ADD,P0013,Noodles,B100036,2027-05-28,42,70000
ADD,P0008,Juice,B100037,2026-07-06,92,90000
ADD,P0001,Milk,B100038,2027-11-09,31,10000
ADD,P0006,Medicine,B100039,2027-09-04,61,40000
ADD,P0016,Snack,B100040,2026-11-07,19,85000
ADD,P0003,Coffee,B100041,2027-11-06,30,15000
ADD,P0001,Milk,B100042,2027-05-16,17,40000
ADD,P0006,Medicine,B100043,2026-07-06,43,85000
ADD,P0018,Cheese,B100044,2027-09-22,68,95000
ADD,P0019,Butter,B100045,2027-09-21,27,65000
ADD,P0016,Snack,B100046,2026-07-08,9,95000
ADD,P0002,Bread,B100047,2026-10-17,23,75000
ADD,P0003,Coffee,B100048,2026-12-04,17,30000
ADD,P0008,Juice,B100049,2027-05-14,82,100000
ADD,P0009,Cake,B100050,2027-03-07,89,65000
ADD,P0017,Egg,B100051,2027-05-11,14,50000
ADD,P0011,Water,B100052,2026-11-09,97,50000
ADD,P0015,Shampoo,B100053,2026-11-05,90,65000
ADD,P0005,Rice,B100054,2027-11-03,63,60000
ADD,P0015,Shampoo,B100055,2026-11-05,37,20000
ADD,P0005,Rice,B100056,2027-08-05,98,40000
ADD,P0009,Cake,B100057,2026-10-10,64,55000
ADD,P0011,Water,B100058,2026-12-11,99,40000
ADD,P0015,Shampoo,B100059,2027-02-15,30,60000
ADD,P0020,Sugar,B100060,2026-07-02,37,65000
ADD,P0007,Book,B100061,2027-06-01,70,20000
ADD,P0011,Water,B100062,2027-04-17,44,95000
ADD,P0003,Coffee,B100063,2027-09-08,29,100000
ADD,P0004,Tea,B100064,2027-12-21,100,25000
ADD,P0004,Tea,B100065,2026-12-12,82,80000
ADD,P0016,Snack,B100066,2027-08-23,63,30000
ADD,P0016,Snack,B100067,2027-04-13,99,45000
ADD,P0020,Sugar,B100068,2027-02-19,80,50000
ADD,P0018,Cheese,B100069,2027-04-11,57,90000
ADD,P0004,Tea,B100070,2027-06-07,100,70000
ADD,P0002,Bread,B100071,2027-06-30,34,65000
ADD,P0003,Coffee,B100072,2026-07-02,41,55000
ADD,P0013,Noodles,B100073,2027-07-16,66,45000
ADD,P0008,Juice,B100074,2027-10-06,37,95000
ADD,P0017,Egg,B100075,2026-09-11,64,90000
ADD,P0009,Cake,B100076,2027-07-02,86,45000
ADD,P0016,Snack,B100077,2027-12-20,39,80000
ADD,P0008,Juice,B100078,2027-08-15,31,70000
ADD,P0018,Cheese,B100079,2026-12-30,43,75000
ADD,P0004,Tea,B100080,2027-12-09,32,50000
ADD,P0020,Sugar,B100081,2027-04-13,75,40000
ADD,P0007,Book,B100082,2027-10-20,49,55000
ADD,P0019,Butter,B100083,2027-11-24,41,20000
ADD,P0008,Juice,B100084,2027-07-16,91,85000
ADD,P0017,Egg,B100085,2027-01-07,59,40000
ADD,P0016,Snack,B100086,2027-03-23,82,80000
ADD,P0014,Soap,B100087,2027-04-18,7,55000
ADD,P0001,Milk,B100088,2027-07-21,76,80000
ADD,P0019,Butter,B100089,2027-11-20,75,20000
ADD,P0020,Sugar,B100090,2026-07-27,88,55000
ADD,P0020,Sugar,B100091,2027-12-18,41,85000
ADD,P0008,Juice,B100092,2027-01-06,24,50000
ADD,P0010,Candy,B100093,2026-07-03,13,35000
ADD,P0018,Cheese,B100094,2026-11-12,11,75000
ADD,P0005,Rice,B100095,2027-04-11,49,95000
ADD,P0007,Book,B100096,2027-01-05,73,10000
ADD,P0003,Coffee,B100097,2027-10-19,77,30000
ADD,P0010,Candy,B100098,2026-09-14,37,95000
ADD,P0018,Cheese,B100099,2027-10-15,11,95000
ADD,P0012,Chocolate,B100100,2027-05-03,21,45000
