action,barcode,quantity
DISPATCH,P0387,40
DISPATCH,P0385,14
DISPATCH,P0377,7
DISPATCH,P0385,12
DISPATCH,P0369,38
DISPATCH,P0402,10
DISPATCH,P0398,14
DISPATCH,P0388,46
DISPATCH,P0397,1
DISPATCH,P0397,33
DISPATCH,P0396,15
DISPATCH,P0403,2
DISPATCH,P0384,32
DISPATCH,P0392,40
DISPATCH,P0396,34
DISPATCH,P0400,2
DISPATCH,P0403,5
DISPATCH,P0334,31
DISPATCH,P0395,49
DISPATCH,P0404,22
DISPATCH,P0381,9
DISPATCH,P0400,37
DISPATCH,P0392,14
DISPATCH,P0392,16
DISPATCH,P0371,1
DISPATCH,P0400,19
DISPATCH,P0371,11
DISPATCH,P0377,49
DISPATCH,P0377,21
DISPATCH,P0403,46
DISPATCH,P0402,28
DISPATCH,P0385,6
DISPATCH,P0400,40
DISPATCH,P0388,18
DISPATCH,P0369,26
DISPATCH,P0403,23
DISPATCH,P0402,25
DISPATCH,P0388,45
DISPATCH,P0404,5
DISPATCH,P0398,40
DISPATCH,P0399,36
DISPATCH,P0402,6
DISPATCH,P0395,8
DISPATCH,P0396,36
DISPATCH,P0334,16
DISPATCH,P0404,32
DISPATCH,P0377,40
DISPATCH,P0384,50
DISPATCH,P0384,28
DISPATCH,P0387,7
DISPATCH,P0402,6
DISPATCH,P0388,32
DISPATCH,P0387,6
DISPATCH,P0404,36
DISPATCH,P0387,4
DISPATCH,P0404,22
DISPATCH,P0371,41
DISPATCH,P0392,18
DISPATCH,P0388,31
DISPATCH,P0398,40
DISPATCH,P0399,6
DISPATCH,P0385,34
DISPATCH,P0403,26
DISPATCH,P0385,26
DISPATCH,P0400,33
DISPATCH,P0377,3
DISPATCH,P0401,24
DISPATCH,P0400,30
DISPATCH,P0398,50
DISPATCH,P0371,23
DISPATCH,P0400,33
DISPATCH,P0385,15
DISPATCH,P0400,39
DISPATCH,P0381,10
DISPATCH,P0384,5
DISPATCH,P0401,17
DISPATCH,P0385,1
DISPATCH,P0401,19
DISPATCH,P0402,33
DISPATCH,P0401,37
DISPATCH,P0377,38
DISPATCH,P0334,49
DISPATCH,P0395,41
DISPATCH,P0385,28
DISPATCH,P0398,45
DISPATCH,P0398,28
DISPATCH,P0384,2
DISPATCH,P0392,19
DISPATCH,P0398,31
DISPATCH,P0402,3
DISPATCH,P0385,35
DISPATCH,P0384,12
DISPATCH,P0397,10
DISPATCH,P0398,26
DISPATCH,P0402,41
DISPATCH,P0402,41
DISPATCH,P0401,18
DISPATCH,P0402,17
DISPATCH,P0395,9
DISPATCH,P0404,37
DISPATCH,P0399,26
DISPATCH,P0385,44
DISPATCH,P0334,42
DISPATCH,P0392,23
DISPATCH,P0399,27
DISPATCH,P0402,23
DISPATCH,P0388,7
DISPATCH,P0402,32
DISPATCH,P0392,39
DISPATCH,P0371,7
DISPATCH,P0403,28
DISPATCH,P0397,25
DISPATCH,P0396,49
DISPATCH,P0401,18
DISPATCH,P0334,9
DISPATCH,P0396,7
DISPATCH,P0404,25
DISPATCH,P0404,35
DISPATCH,P0398,32
DISPATCH,P0396,42
DISPATCH,P0388,27
DISPATCH,P0388,9
DISPATCH,P0371,36
DISPATCH,P0387,22
DISPATCH,P0395,11
DISPATCH,P0398,30
DISPATCH,P0397,9
DISPATCH,P0399,12
DISPATCH,P0397,7
DISPATCH,P0402,43
DISPATCH,P0384,39
DISPATCH,P0385,43
DISPATCH,P0404,12
DISPATCH,P0400,22
DISPATCH,P0369,50
DISPATCH,P0381,27
DISPATCH,P0377,46
DISPATCH,P0388,36
DISPATCH,P0396,35
DISPATCH,P0392,17
DISPATCH,P0397,8
DISPATCH,P0369,2
DISPATCH,P0401,33
DISPATCH,P0402,3
DISPATCH,P0371,6
DISPATCH,P0398,38
DISPATCH,P0398,14
DISPATCH,P0369,16
DISPATCH,P0371,1
DISPATCH,P0398,41
DISPATCH,P0381,12
DISPATCH,P0377,37
DISPATCH,P0395,48
DISPATCH,P0396,41
DISPATCH,P0369,6
DISPATCH,P0395,19
DISPATCH,P0377,11
DISPATCH,P0399,9
DISPATCH,P0388,29
DISPATCH,P0388,5
DISPATCH,P0401,32
DISPATCH,P0381,25
DISPATCH,P0402,16
DISPATCH,P0399,39
DISPATCH,P0381,39
DISPATCH,P0384,48
DISPATCH,P0396,46
DISPATCH,P0398,34
DISPATCH,P0395,36
DISPATCH,P0402,19
DISPATCH,P0397,11
DISPATCH,P0369,9
DISPATCH,P0369,9
DISPATCH,P0403,22
DISPATCH,P0369,43
DISPATCH,P0387,27
DISPATCH,P0396,1
DISPATCH,P0371,42
DISPATCH,P0334,16
DISPATCH,P0334,4
DISPATCH,P0334,46
DISPATCH,P0387,39
DISPATCH,P0384,1
DISPATCH,P0397,21
DISPATCH,P0388,3
DISPATCH,P0377,7
DISPATCH,P0396,41
DISPATCH,P0399,44
DISPATCH,P0404,16
DISPATCH,P0381,32
DISPATCH,P0384,5
DISPATCH,P0377,7
DISPATCH,P0381,38
DISPATCH,P0369,9
DISPATCH,P0384,13
DISPATCH,P0388,30
DISPATCH,P0377,10
DISPATCH,P0371,1
DISPATCH,P0397,4
DISPATCH,P0381,36
DISPATCH,P0392,21
DISPATCH,P0401,26
DISPATCH,P0371,22
DISPATCH,P0384,22
DISPATCH,P0395,7
DISPATCH,P0384,11
DISPATCH,P0400,26
DISPATCH,P0398,42
DISPATCH,P0369,40
DISPATCH,P0397,48
DISPATCH,P0387,39
DISPATCH,P0377,4
DISPATCH,P0404,16
DISPATCH,P0401,18
DISPATCH,P0395,32
DISPATCH,P0404,48
DISPATCH,P0397,6
DISPATCH,P0404,33
DISPATCH,P0377,11
DISPATCH,P0400,27
DISPATCH,P0369,46
DISPATCH,P0377,36
DISPATCH,P0387,20
DISPATCH,P0334,28
DISPATCH,P0401,37
DISPATCH,P0397,1
DISPATCH,P0395,14
DISPATCH,P0396,16
DISPATCH,P0369,39
DISPATCH,P0396,47
DISPATCH,P0334,13
DISPATCH,P0384,4
DISPATCH,P0387,29
DISPATCH,P0399,50
DISPATCH,P0397,13
DISPATCH,P0397,11
DISPATCH,P0401,43
DISPATCH,P0404,39
DISPATCH,P0403,35
DISPATCH,P0392,30
DISPATCH,P0399,31
DISPATCH,P0385,19
DISPATCH,P0377,1
DISPATCH,P0403,44
DISPATCH,P0388,34
DISPATCH,P0385,17
DISPATCH,P0399,10
DISPATCH,P0402,23
DISPATCH,P0377,16
DISPATCH,P0385,2
DISPATCH,P0404,40
DISPATCH,P0400,32
DISPATCH,P0384,30
DISPATCH,P0395,37
DISPATCH,P0387,10
DISPATCH,P0384,50
DISPATCH,P0377,19
DISPATCH,P0392,4
DISPATCH,P0402,33
DISPATCH,P0404,34
DISPATCH,P0381,32
DISPATCH,P0384,43
DISPATCH,P0385,7
DISPATCH,P0371,37
